training_id,Expected_Hs,Expected_Ha,Expected_Hw
#no radius
PG_trainval_Call_D0a_Wall_Tall,2.317647863085115,1.5505221213592055,0.7671257417259066
PG_trainval_Call_D0b_Wall_Tall,2.335693307011014,1.4888103186744281,0.8468829883365856
PG_trainval_Call_D1a_Wall_Tall,2.6341096062556453,1.409001227283668,1.225108378971982
PG_trainval_Call_D1b_Wall_Tall,2.4760717979055142,1.3027407619058606,1.1733310359996512

#radius6, no humans in FrontObjects
PG_trainval_Call_D0a_Wall_Tall,2.460331619418679,1.575749452491484,0.8845821669271966
PG_trainval_Call_D0b_Wall_Tall,2.498855530107297,1.521490791049301,0.977364739058
PG_trainval_Call_D1a_Wall_Tall,2.711176988791242,1.5051613450908299,1.2060156437004201
PG_trainval_Call_D1b_Wall_Tall,2.6534812570388935,1.4280672171017093,1.2254140399371938

#radius10, no humans
PG_trainval_Call_D0a_Wall_Tall,2.6049114854638025,1.5438552382846462,1.0610562471791554
PG_trainval_Call_D0b_Wall_Tall,2.5813066964416183,1.4743261414517719,1.1069805549898597
PG_trainval_Call_D1a_Wall_Tall,2.767640494471177,1.4418544998971001,1.3257859945740864
PG_trainval_Call_D1b_Wall_Tall,2.624113404271417,1.3417524864842953,1.2823609177871405
PG_trainval_Call_D2a_Wall_Tall,2.7782807702572496,1.4340892597904267,1.3441915104668236
PG_trainval_Call_D2b_Wall_Tall,2.6347536800574893,1.3339872463776217,1.3007664336798772

