pg_id,test_id,avg_nll_action,std_nll_action,avg_nll_world,std_nll_world,avg_nll_tot,std_nll_tot
PG_hv_Call_D0a_Wall_Tall,very_low_visibility.csv,68.17243472367512,47.22783353071145,55.182591381841135,22.788470332418175,123.35502610551627,61.49829637926558
PG_hv_Call_D0b_Wall_Tall,very_low_visibility.csv,101.21801203322617,78.11743492954749,82.64190912072917,46.45391941316778,183.85992115395536,76.19929046933831
PG_hv_Call_D0c_Wall_Tall,very_low_visibility.csv,117.86761751192675,82.2669553831129,85.15733462170832,46.97468095860885,203.02495213363508,84.81135332625809
PG_hv_Call_D1a_Wall_Tall,very_low_visibility.csv,127.14468017152001,75.51563842484155,108.36757009801377,48.66678779371599,235.5122502695338,67.13988486311358
PG_hv_Call_D1b_Wall_Tall,very_low_visibility.csv,162.55313467084875,90.8875390148659,118.2180252558682,46.91259378330157,280.77115992671696,89.78879843964218
PG_hv_Call_D1c_Wall_Tall,very_low_visibility.csv,181.73479915074768,103.72928812255866,124.62740531684474,52.9177669746471,306.3622044675924,85.96350672694385

PG_hv_Call_D0a_Wall_Tall,high_visibility_test.csv,65.7411404120228,54.51641505936875,43.98255131039523,28.917182687962313,109.72369172241805,72.30115280235086
PG_hv_Call_D0b_Wall_Tall,high_visibility_test.csv,92.10425843114618,78.17342856788642,69.96159580683981,35.79232646790482,162.065854237986,92.33667027526161
PG_hv_Call_D0c_Wall_Tall,high_visibility_test.csv,107.10705724177704,84.86973528603717,80.53821678369349,38.621479749070545,187.64527402547054,97.7936464195645
PG_hv_Call_D1a_Wall_Tall,high_visibility_test.csv,123.07882843203302,87.77610232763045,80.79449299308189,44.280148547831445,203.87332142511488,92.52538519299159
PG_hv_Call_D1b_Wall_Tall,high_visibility_test.csv,187.87617248356207,113.09923228306047,99.24651851274864,56.029973332080374,287.12269099631067,99.51894840505194
PG_hv_Call_D1c_Wall_Tall,high_visibility_test.csv,214.59527560964128,113.8325958481205,99.15986130083246,60.23940441148749,313.75513691047377,95.99345407142306

PG_hv_20__Call_D0a_Wall_Tall,high_visibility_test_20.csv,82.82245002171696,89.3521807154277,44.105009097636746,27.751805924102243,126.9274591193537,92.45321721313
PG_hv_20__Call_D0b_Wall_Tall,high_visibility_test_20.csv,108.45402790533193,100.46846611712473,74.60738374530607,42.018886950637864,183.06141165063804,103.498512325828
PG_hv_20__Call_D0c_Wall_Tall,high_visibility_test_20.csv,126.37028418253261,104.12755898013334,83.23172193385453,44.84970517847116,209.60200611638717,106.83925285976441
PG_hv_20__Call_D1a_Wall_Tall,high_visibility_test_20.csv,129.79723804175848,107.87589225599594,82.70048690674247,47.1619258209231,212.49772494850097,101.98215092929445
PG_hv_20__Call_D1b_Wall_Tall,high_visibility_test_20.csv,186.70509200712772,121.68316626689216,104.44483828899847,64.13478614146308,291.1499302961262,107.31755570375283
PG_hv_20__Call_D1c_Wall_Tall,high_visibility_test_20.csv,217.80608959558745,122.8363491302574,104.34227266775703,67.91456455170041,322.14836226334455,105.74412624236297


PG_hv_20__Call_D0a_Wall_Tall,low_visibility.csv,78.38187330108961,72.64450082853745,54.74558635688502,34.924790000587414,133.12745965797464,90.03705761894794
PG_hv_20__Call_D0b_Wall_Tall,low_visibility.csv,97.4280876678315,89.59311486458512,86.8429679349025,53.660200847512165,184.27105560273404,107.95741058818057
PG_hv_20__Call_D0c_Wall_Tall,low_visibility.csv,114.69893387895367,97.75060746721482,96.89797494645941,55.84740859844464,211.5969088254131,116.49775424952553
PG_hv_20__Call_D1a_Wall_Tall,low_visibility.csv,119.97981869316953,107.9719513730054,94.3819013561334,59.2881971794985,214.36172004930296,126.62511752658548
PG_hv_20__Call_D1b_Wall_Tall,low_visibility.csv,157.05256222189647,124.56714254626873,124.21361030873607,67.7129215522885,281.26617253063256,133.75798972794388
